"Longitude","Latitude","Day_of_Week"
-0.181611,51.501268,"Mon"
-0.169504,51.519335,"Thu"
-0.172544,51.533411,"Wed"
-0.151624,51.501699,"Mon"
-0.141206,51.513404,"Sat"
-0.167121,51.514082,"Thu"
-0.142444,51.490043,"Thu"
-0.143655,51.506339,"Thu"
-0.164954,51.53572,"Thu"
-0.151764,51.501791,"Fri"
-0.136965,51.511359,"Sun"
-0.141523,51.502078,"Sat"
-0.151702,51.51402,"Wed"
-0.192636,51.521222,"Wed"
-0.139146,51.517958,"Sun"
-0.138962,51.508333,"Fri"
-0.184483,51.523255,"Sat"
-0.159226,51.520433,"Sun"
-0.172396,51.511916,"Mon"
-0.158558,51.511969,"Tue"
-0.167765,51.512383,"Wed"
-0.160339,51.52144,"Wed"
-0.113785,51.510808,"Wed"
-0.14931,51.523245,"Fri"
-0.129744,51.501172,"Sun"
-0.129775,51.507467,"Sat"
-0.122578,51.514277,"Sat"
-0.150754,51.498268,"Sat"
-0.137228,51.511992,"Thu"
-0.191792,51.509789,"Tue"
-0.129403,51.488397,"Thu"
-0.156563,51.514996,"Thu"
-0.14605,51.497024,"Wed"
-0.166518,51.525493,"Sat"
-0.144576,51.519123,"Sat"
-0.118006,51.509797,"Sat"
-0.150917,51.504925,"Sat"
-0.136129,51.503612,"Wed"
-0.140725,51.511059,"Thu"
-0.125162,51.493455,"Thu"
-0.152448,51.502701,"Thu"
-0.127986,51.487835,"Fri"
-0.151905,51.501883,"Sat"
-0.162861,51.533979,"Mon"
-0.161184,51.5255,"Sat"
-0.152844,51.503606,"Fri"
-0.149438,51.495189,"Tue"
-0.131898,51.5084,"Wed"
-0.172663,51.523251,"Wed"
-0.138408,51.507784,"Fri"
-0.11907,51.511972,"Fri"
-0.181985,51.528072,"Mon"
-0.174469,51.499718,"Wed"
-0.136241,51.497318,"Tue"
-0.160267,51.501745,"Tue"
-0.123324,51.506645,"Wed"
-0.129403,51.488397,"Wed"
-0.14819,51.515313,"Wed"
-0.127637,51.506894,"Tue"
-0.179164,51.5265,"Thu"
-0.129517,51.513758,"Thu"
-0.114427,51.512707,"Thu"
-0.188939,51.516309,"Fri"
-0.169072,51.530119,"Fri"
-0.149849,51.50284,"Tue"
-0.188792,51.534562,"Tue"
-0.174245,51.534157,"Wed"
-0.165458,51.501646,"Wed"
-0.174265,51.512035,"Thu"
-0.140018,51.485958,"Fri"
-0.135918,51.515838,"Sat"
-0.143025,51.511185,"Sat"
-0.134716,51.509974,"Sun"
-0.129888,51.501174,"Wed"
-0.122619,51.506274,"Tue"
-0.159084,51.513237,"Wed"
-0.15644,51.514454,"Fri"
-0.144433,51.512017,"Fri"
-0.143826,51.502115,"Tue"
-0.151375,51.486497,"Tue"
-0.115816,51.510481,"Tue"
-0.115528,51.510477,"Thu"
-0.182539,51.510545,"Thu"
-0.17964,51.525428,"Wed"
-0.171316,51.506504,"Fri"
-0.191934,51.520762,"Fri"
-0.152235,51.504406,"Fri"
